id,physicalringname,lrname,aendname,bendname,distance,ibclink,priority,aendid,bendid,aendifIndex,bendifIndex,bendip,aendip,physicalsegments,remarks,confirmed,user_name,time_stamp,cluster_name,district_name,block_name
874,BERLA_Blue,Ring no.01,BERLA,BORIYA,8.219,,Low,2511,2518,14,13,10.128.17.19,10.128.0.16,102,,0,,,A2,BEMETARA,BERLA
877,BERLA_Blue,Ring no.01,GHATIYAKALA,GODGIRI,4.23,,Low,2581,2602,14,13,10.128.17.34,10.128.17.32,105,,0,,,A2,BEMETARA,BERLA
878,BERLA_Blue,Ring no.01,GODGIRI,GADAMOR,4.38,,Low,2602,2559,14,13,10.128.17.31,10.128.17.34,108,,0,,,A2,BEMETARA,BERLA
879,BERLA_Blue,Ring no.01,GADAMOR,KOHDIYA,6.138,,Low,2559,2696,14,13,10.128.17.53,10.128.17.31,114,,0,,,A2,BEMETARA,BERLA
880,BERLA_Blue,Ring no.01,KOHDIYA,GUDHELI,2.392,,Low,2696,2613,14,13,10.128.17.35,10.128.17.53,113,,0,,,A2,BEMETARA,BERLA
881,BERLA_Blue,Ring no.01,GUDHELI,BERLAKALA,5.16,,Low,2613,2531,14,13,10.128.17.9,10.128.17.35,112,,0,,,A2,BEMETARA,BERLA
882,BERLA_Blue,Ring no.01,BERLAKALA,DHABA,21.82,,Low,2531,2543,14,13,10.128.17.29,10.128.17.9,"115,116,117,118,132",,0,,,A2,BEMETARA,BERLA
883,BERLA_Blue,Ring no.01,DHABA,KUMHI,23.81,,Low,2543,2584,14,13,10.128.17.88,10.128.17.29,"121,122,123,124,125,126",,0,,,A2,BEMETARA,BERLA
884,BERLA_Blue,Ring no.01,KUMHI,BERLA,11.7,,Low,2584,2511,14,13,10.128.0.16,10.128.17.88,"127,128,129,130",,0,,,A2,Bemetara,Berla
885,BERLA_Blue,Ring no.02,BERLA,TILAI,14.15,,Low,2511,2647,14,13,10.128.17.84,10.128.0.16,"102,135",,0,,,A2,BEMETARA,BERLA
886,BERLA_Blue,Ring no.02,TILAI,KANDARKA,23.767,,Low,2647,2633,14,13,10.128.17.41,10.128.17.84,"106,108,112,113,114,115",,0,,,A2,BEMETARA,BERLA
887,BERLA_Blue,Ring no.02,KANDARKA,BHALESHAR,3.865,,Low,2633,2475,14,13,10.128.17.10,10.128.17.41,116,,0,,,A2,BEMETARA,BERLA
892,BERLA_Blue,Ring no.02,BHARDA,KHARRA,15.985,,Low,2498,2704,14,13,10.128.17.46,10.128.17.13,"124,125,126,127",,0,,,A2,BEMETARA,BERLA
893,BERLA_Blue,Ring no.02,KHARRA,KUSMI,4.395,,Low,2704,2684,14,13,10.128.17.56,10.128.17.46,128,,0,,,A2,BEMETARA,BERLA
894,BERLA_Blue,Ring no.02,KUSMI,BERLA,5.22,,Low,2684,2511,14,13,10.128.0.16,10.128.17.56,"129,130",,0,,,A2,BEMETARA,BERLA
895,BERLA_Blue,Ring no.03,BERLA,UFARA,30.57,,Low,2511,2590,14,13,10.128.17.85,10.128.0.16,,,0,,,A2,BEMETARA,BERLA
896,BERLA_Blue,Ring no.03,UFARA,BORSI,3.45,,Low,2590,2530,14,13,10.128.17.20,10.128.17.85,,,0,,,A2,BEMETARA,BERLA
897,BERLA_Blue,Ring no.03,BORSI,SILGHATT,30.025,,Low,2530,2655,14,13,10.128.17.73,10.128.17.20,"111,115,116,117,118,132,121",,0,,,A2,BEMETARA,BERLA
898,BERLA_Blue,Ring no.03,SILGHATT,LAWATARA,4.655,,Low,2655,2576,14,13,10.128.17.89,10.128.17.73,122,,0,,,A2,BEMETARA,BERLA
899,BERLA_Blue,Ring no.03,LAWATARA,MUDPAR KALAN,6.455,,Low,2576,2522,14,13,10.128.17.90,10.128.17.89,"123,124",,0,,,A2,Bemetara,Berla
900,BERLA_Blue,Ring no.03,MUDPAR KALAN,BARGAON,7.31,,Low,2522,2664,14,13,10.128.17.7,10.128.17.90,125,,0,,,A2,BEMETARA,BERLA
901,BERLA_Blue,Ring no.03,BARGAON,BHAND,12.345,,Low,2664,2486,14,13,10.128.17.11,10.128.17.7,"126,127,128,129",,0,,,A2,BEMETARA,BERLA
902,BERLA_Blue,Ring no.03,BHAND,BERLA,2.975,,Low,2486,2511,14,13,10.128.0.16,10.128.17.11,130,,0,,,A2,BEMETARA,BERLA
903,BERLA_Orange,Ring no.04,BERLA,BHARCHATTI,9.415,,High,2511,2836,14,13,10.128.17.12,10.128.0.16,,,0,,,A2,BEMETARA,BERLA
904,BERLA_Orange,Ring no.04,BHARCHATTI,REVE,2.25,,High,2836,2708,14,13,10.128.17.68,10.128.17.12,,,0,,,A2,BEMETARA,BERLA
905,BERLA_Orange,Ring no.04,REVE,PATORA,2.34,,High,2708,2718,14,13,10.128.17.64,10.128.17.68,,,0,,,A2,BEMETARA,BERLA
906,BERLA_Orange,Ring no.04,PATORA,TAKAM,5.355,,High,2718,2694,14,13,10.128.17.80,10.128.17.64,,,0,,,A2,BEMETARA,BERLA
907,BERLA_Orange,Ring no.04,TAKAM,TAKSIVA,5.233,,High,2694,2690,14,13,10.128.17.81,10.128.17.80,,,0,,,A2,BEMETARA,BERLA
908,BERLA_Orange,Ring no.04,TAKSIVA,LAVATARA,4.017,,High,2690,2742,14,13,10.128.17.57,10.128.17.81,,,0,,,A2,BEMETARA,BERLA
909,BERLA_Orange,Ring no.04,LAVATARA,KURUD,19.533,,High,2742,2750,14,13,10.128.17.55,10.128.17.57,,,0,,,A2,BEMETARA,BERLA
910,BERLA_Orange,Ring no.04,KURUD,JAMGHAT,25.927,,Low,2750,2811,14,13,10.128.17.40,10.128.17.55,,,0,,,A2,BEMETARA,BERLA
911,BERLA_Orange,Ring no.04,JAMGHAT,SURHOLI,21.58,,High,2811,2698,14,13,10.128.17.78,10.128.17.40,,,0,,,A2,BEMETARA,BERLA
912,BERLA_Orange,Ring no.04,SURHOLI,DEVADA,19.8,,High,2698,2828,14,13,10.128.17.26,10.128.17.78,,,0,,,A2,BEMETARA,BERLA
913,BERLA_Orange,Ring no.04,DEVADA,BERLA,12.86,,High,2828,2511,14,13,10.128.0.16,10.128.17.26,,,0,,,A2,BEMETARA,BERLA
914,BERLA_Orange,Ring no.05,BERLA,ATARGADI,34.67,,High,2511,2826,14,13,10.128.17.3,10.128.0.16,,,0,,,A2,BEMETARA,BERLA
915,BERLA_Orange,Ring no.05,ATARGADI,KATHIYA,6.33,,High,2826,2797,14,13,10.128.17.42,10.128.17.3,,,0,,,A2,BEMETARA,BERLA
916,BERLA_Orange,Ring no.05,KATHIYA,KIRITPUR,5.104,,Low,2797,2756,14,13,10.128.17.51,10.128.17.42,,,0,,,A2,BEMETARA,BERLA
917,BERLA_Orange,Ring no.05,KIRITPUR,RAVELI,8.495,,Low,2756,2712,14,13,10.128.17.67,10.128.17.51,,,0,,,A2,BEMETARA,BERLA
918,BERLA_Orange,Ring no.05,RAVELI,PAHANDA,24.676,,High,2712,2724,14,13,10.128.17.62,10.128.17.67,,,0,,,A2,BEMETARA,BERLA
919,BERLA_Orange,Ring no.05,PAHANDA,TELGA,8.795,,High,2724,2662,14,13,10.128.17.83,10.128.17.62,,,0,,,A2,BEMETARA,BERLA
920,BERLA_Orange,Ring no.05,TELGA,ANANDGAON,4.875,,High,2662,2832,14,13,10.128.17.2,10.128.17.83,,,0,,,A2,BEMETARA,BERLA
921,BERLA_Orange,Ring no.05,ANANDGAON,NEVNARA,17.975,,High,2832,2730,14,13,10.128.17.61,10.128.17.2,,,0,,,A2,BEMETARA,BERLA
922,BERLA_Orange,Ring no.05,NEVNARA,HASADA,2.21,,High,2730,2824,14,13,10.128.17.37,10.128.17.61,,,0,,,A2,BEMETARA,BERLA
923,BERLA_Orange,Ring no.05,HASADA,BERLA,17.83,,High,2824,2511,14,13,10.128.0.16,10.128.17.37,,,0,,,A2,BEMETARA,BERLA
924,BERLA_Orange,Ring no.06,BERLA,BHILOURI,26.62,,Low,2511,2834,14,13,10.128.17.17,10.128.0.16,,,0,,,A2,BEMETARA,BERLA
925,BERLA_Orange,Ring no.06,BHILOURI,RANKA,14.21,,Low,2834,2714,14,13,10.128.17.66,10.128.17.17,,,0,,,A2,BEMETARA,BERLA
