router_ip,ups_ip
10.128.52.32,10.131.52.118
10.128.93.1,10.131.91.186
10.128.10.55,10.131.12.194
10.128.52.11,10.131.52.34
10.128.10.25,10.131.12.74
10.128.10.39,10.131.12.130
10.128.93.54,10.131.92.142
10.128.10.10,10.131.12.10
10.128.93.12,10.131.91.230
10.128.10.49,10.131.12.170
10.128.10.44,10.131.12.150
10.128.93.49,10.131.92.122
10.128.52.39,10.131.52.146
10.128.10.9,10.131.12.2
10.128.93.11,10.131.91.226
10.128.10.13,10.131.12.26
10.128.52.18,10.131.52.62
10.128.93.18,10.131.91.254
10.128.10.35,10.131.12.114
10.128.52.23,10.131.52.82
10.128.10.7,10.131.11.250
10.128.93.14,10.131.91.238
10.128.52.20,10.131.52.70
10.128.10.54,10.131.12.190
10.128.52.14,10.131.52.46
10.128.93.40,10.131.92.86
10.128.10.27,10.131.12.82
10.128.52.40,10.131.52.150
10.128.10.16,10.131.12.38
10.128.10.21,10.131.12.58
10.128.93.15,10.131.91.242
10.128.52.8,10.131.52.22
10.128.10.5,10.131.11.242
10.128.93.29,10.131.92.42
10.128.10.51,10.131.12.178
10.128.10.63,10.131.12.226
10.128.93.17,10.131.91.250
10.128.10.48,10.131.12.166
10.128.52.6,10.131.52.14
10.128.10.41,10.131.12.138
10.128.93.58,10.131.92.158
10.128.52.21,10.131.52.74
10.128.10.34,10.131.12.110
10.128.52.2,10.131.51.254
10.128.10.65,10.131.12.234
10.128.10.59,10.131.12.210
10.128.52.16,10.131.52.54
10.128.10.12,10.131.12.22
10.128.10.29,10.131.12.90
10.128.52.9,10.131.52.26
10.128.10.57,10.131.12.202
10.128.93.4,10.131.91.198
10.128.0.84,10.131.92.78
10.128.10.52,10.131.12.182
10.128.93.30,10.131.92.46
10.128.52.63,10.131.95.182
10.128.52.22,10.131.52.78
10.128.10.56,10.131.12.198
10.128.0.84,10.131.92.154
10.128.93.41,10.131.92.90
10.128.52.17,10.131.52.58
10.128.52.44,10.131.52.166
10.128.93.48,10.131.92.118
10.128.10.19,10.131.12.50
10.128.93.66,10.131.109.106
10.128.93.6,10.131.91.206
10.128.93.36,10.131.92.70
10.128.52.4,10.131.52.6
10.128.93.50,10.131.92.126
10.128.10.28,10.131.12.86
10.128.0.84,10.131.92.138
10.128.10.45,10.131.12.154
10.128.0.84,10.131.91.218
10.128.10.11,10.131.12.14
10.128.0.84,10.131.109.102
10.128.10.2,10.131.11.230
10.128.93.61,10.131.92.170
10.128.0.10,10.131.12.6
10.128.10.46,10.131.12.158
10.128.52.15,10.131.52.50
10.128.93.25,10.131.92.26
10.128.93.2,10.131.91.190
10.128.52.60,10.131.95.170
10.128.10.18,10.131.12.46
10.128.10.50,10.131.12.174
10.128.93.22,10.131.92.14
10.128.52.26,10.131.52.94
10.128.10.36,10.131.12.118
10.128.93.28,10.131.92.38
10.128.10.47,10.131.12.162
10.128.52.5,10.131.52.10
10.128.93.16,10.131.91.246
10.128.52.51,10.131.52.194
10.128.10.38,10.131.12.126
10.128.93.60,10.131.92.166
10.128.10.37,10.131.12.122
10.128.52.31,10.131.52.114
10.128.10.32,10.131.12.102
10.128.52.24,10.131.52.86
10.128.93.45,10.131.92.106
10.128.10.24,10.131.12.70
10.128.52.3,10.131.52.2
10.128.93.19,10.131.92.2
10.128.10.43,10.131.12.146
10.128.10.22,10.131.12.62
10.128.52.10,10.131.52.30
10.128.10.3,10.131.11.234
10.128.10.23,10.131.12.66
10.128.52.46,10.131.52.174
10.128.10.40,10.131.12.134
10.128.10.69,10.131.97.38
10.128.93.68,10.131.109.114
10.128.10.66,10.131.12.238
10.128.93.59,10.131.92.162
10.128.10.62,10.131.12.222
10.128.10.61,10.131.12.218
10.128.93.7,10.131.91.210
10.128.93.35,10.131.92.66
10.128.93.39,10.131.92.82
10.128.93.63,10.131.98.42
10.128.10.71,10.131.103.254
10.128.52.58,10.131.95.162
10.128.92.29,10.131.95.162
10.128.10.31,10.131.12.98
10.128.52.56,10.131.95.154
10.128.93.3,10.131.91.194
10.128.52.53,10.131.95.142
10.128.93.56,10.131.92.150
10.128.93.5,10.131.91.202
10.128.93.47,10.131.92.114
10.128.93.46,10.131.92.110
10.128.93.13,10.131.91.234
10.128.93.37,10.131.92.74
10.128.93.64,10.131.109.98
10.128.52.61,10.131.95.174
10.128.93.24,10.131.92.22
10.128.52.34,10.131.52.126
10.128.93.67,10.131.109.110
10.128.93.62,10.131.92.174
10.128.52.25,10.131.52.90
10.128.52.13,10.131.52.42
10.128.93.21,10.131.92.10
10.128.93.20,10.131.92.6
10.128.52.36,10.131.52.134
10.128.93.43,10.131.92.98
10.128.52.49,10.131.52.186
10.128.52.30,10.131.52.110
10.128.93.27,10.131.92.34
10.128.93.34,10.131.92.62
10.128.52.37,10.131.52.138
10.128.52.65,10.131.95.190
10.128.52.45,10.131.52.170
10.128.93.51,10.131.92.130
10.128.52.41,10.131.52.154
10.128.93.42,10.131.92.94
10.128.52.47,10.131.52.178
10.128.52.50,10.131.52.190
10.128.52.27,10.131.52.98
10.128.52.59,10.131.95.166
10.128.93.44,10.131.92.102
10.128.52.62,10.131.95.178
10.128.52.33,10.131.52.122
10.128.52.48,10.131.52.182
10.128.52.7,10.131.52.18
10.128.52.19,10.131.52.66
10.128.0.87,10.131.1.90
10.128.52.42,10.131.52.158
10.128.52.35,10.131.52.130
10.128.52.1,10.131.51.250
10.128.52.64,10.131.95.186
10.128.96.11,10.131.94.122
10.128.52.54,10.131.95.146
10.128.96.68,10.131.95.94
10.128.95.11,10.131.93.110
10.128.95.60,10.131.94.50
10.128.95.59,10.131.94.46
10.128.96.86,10.131.101.194
10.128.96.49,10.131.95.18
10.128.96.80,10.131.101.170
10.128.96.82,10.131.101.178
10.128.52.57,10.131.95.158
10.128.95.13,10.131.93.118
10.128.96.9,10.131.94.114
10.128.52.55,10.131.95.150
10.128.95.8,10.131.93.98
10.128.96.57,10.131.95.50
10.128.95.53,10.131.94.22
10.128.96.53,10.131.95.34
10.128.93.69,10.131.106.126
10.128.95.46,10.131.93.250
