ip,devicetype
10.131.53.230,GP_UPS
10.128.54.45,GP_ROUTER
10.131.54.54,GP_UPS
10.128.53.24,GP_ROUTER
10.128.54.26,GP_ROUTER
10.131.53.38,GP_UPS
10.131.53.234,GP_UPS
10.128.54.6,GP_ROUTER
10.131.53.154,GP_UPS
10.128.54.46,GP_ROUTER
10.131.54.58,GP_UPS
10.128.54.28,GP_ROUTER
10.131.53.242,GP_UPS
10.128.54.47,GP_ROUTER
10.131.54.62,GP_UPS
10.128.54.7,GP_ROUTER
10.131.53.158,GP_UPS
10.128.53.26,GP_ROUTER
10.131.53.46,GP_UPS
10.128.54.29,GP_ROUTER
10.131.53.246,GP_UPS
10.128.54.48,GP_ROUTER
10.131.54.66,GP_UPS
10.128.54.30,GP_ROUTER
10.131.53.250,GP_UPS
10.128.53.27,GP_ROUTER
10.128.10.70,GP_ROUTER
10.131.53.50,GP_UPS
10.131.53.182,GP_UPS
10.128.54.8,GP_ROUTER
10.131.53.162,GP_UPS
10.128.54.31,GP_ROUTER
10.131.53.254,GP_UPS
10.128.54.32,GP_ROUTER
10.128.53.31,GP_ROUTER
10.131.53.66,GP_UPS
10.128.54.9,GP_ROUTER
10.131.54.2,GP_UPS
10.131.53.166,GP_UPS
10.128.54.10,GP_ROUTER
10.128.53.33,GP_ROUTER
10.131.53.170,GP_UPS
10.131.53.74,GP_UPS
10.128.54.11,GP_ROUTER
10.131.53.174,GP_UPS
10.128.54.12,GP_ROUTER
10.131.53.178,GP_UPS
10.128.53.35,GP_ROUTER
10.131.53.82,GP_UPS
10.128.53.36,GP_ROUTER
10.131.53.86,GP_UPS
10.128.54.14,GP_ROUTER
10.131.53.186,GP_UPS
10.128.54.15,GP_ROUTER
10.131.53.190,GP_UPS
10.128.53.39,GP_ROUTER
10.131.53.98,GP_UPS
10.128.53.41,GP_ROUTER
10.131.53.106,GP_UPS
10.128.53.42,GP_ROUTER
10.131.53.110,GP_UPS
10.131.132.82,RFDevice
10.128.53.43,GP_ROUTER
10.131.53.114,GP_UPS
10.131.132.83,RFDevice
10.131.132.84,RFDevice
10.131.132.98,RFDevice
10.131.132.99,RFDevice
10.128.53.45,GP_ROUTER
10.131.132.100,RFDevice
10.131.53.122,GP_UPS
10.128.53.47,GP_ROUTER
10.131.53.130,GP_UPS
10.131.132.86,RFDevice
10.131.132.87,RFDevice
10.131.132.88,RFDevice
10.131.132.102,RFDevice
10.131.132.103,RFDevice
10.131.132.104,RFDevice
10.131.131.214,RFDevice
10.131.131.215,RFDevice
10.131.131.216,RFDevice
10.128.13.60,GP_ROUTER
10.131.106.226,GP_UPS
10.128.13.61,GP_ROUTER
10.131.106.230,GP_UPS
10.128.0.85,BLOCK_ROUTER
10.131.1.82,BLOCK_UPS
10.128.94.14,GP_ROUTER
10.131.92.230,GP_UPS
10.128.94.2,GP_ROUTER
10.128.94.15,GP_ROUTER
10.131.92.182,GP_UPS
10.128.94.30,GP_ROUTER
10.131.92.234,GP_UPS
10.131.93.38,GP_UPS
10.128.94.31,GP_ROUTER
10.131.93.42,GP_UPS
10.128.94.16,GP_ROUTER
10.131.92.238,GP_UPS
10.128.94.32,GP_ROUTER
10.131.93.46,GP_UPS
10.128.94.3,GP_ROUTER
10.131.92.186,GP_UPS
10.128.94.17,GP_ROUTER
10.131.92.242,GP_UPS
10.128.94.33,GP_ROUTER
10.131.93.50,GP_UPS
10.128.94.4,GP_ROUTER
10.131.92.190,GP_UPS
10.128.94.18,GP_ROUTER
10.131.92.246,GP_UPS
10.128.94.35,GP_ROUTER
10.131.93.58,GP_UPS
10.128.94.5,GP_ROUTER
10.131.92.194,GP_UPS
10.128.94.19,GP_ROUTER
10.128.94.36,GP_ROUTER
10.131.93.62,GP_UPS
10.131.92.250,GP_UPS
10.128.94.37,GP_ROUTER
10.131.93.66,GP_UPS
10.128.94.20,GP_ROUTER
10.131.92.254,GP_UPS
10.128.94.6,GP_ROUTER
10.128.94.38,GP_ROUTER
