id,ip,systemname,pingStatus,snmpStatus,devicetype,location,firstDiscovery,lastDiscovery,operatingsystem,physicalAddr,vendor,profile_name,acronym,request_id,dept,deviceloc,state,logtime,serial_no,locationText,sourceOfPower,dashboardcat,enable,mfm
1430,10.131.53.150,,UNREACHABLE,DISABLED,GP_UPS,646,2024-09-28 15:19:52,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:19:52,,Cluster : C; District : Kondagaon; Block : Makdi,,GP_UPS,1,0
1431,10.128.54.43,,UNREACHABLE,DISABLED,GP_ROUTER,675,2024-09-28 15:24:57,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:24:57,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : SODMA,,GP_ROUTER,1,0
1432,10.128.54.24,,UNREACHABLE,DISABLED,GP_ROUTER,676,2024-09-28 15:26:16,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-07 16:56:10,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : KARANDI,,GP_ROUTER,1,0
1433,10.131.54.46,,UNREACHABLE,DISABLED,GP_UPS,675,2024-09-28 15:26:17,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:26:17,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : SODMA,,GP_UPS,1,0
1434,10.131.53.226,,UNREACHABLE,DISABLED,GP_UPS,676,2024-09-28 15:26:53,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:26:53,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : KARANDI,,GP_UPS,1,0
1435,10.128.53.18,"""BNC-KAN-KEKL-GJAMGA1.cgbharatnet.gov.in""",UNREACHABLE,DISABLED,GP_ROUTER,677,2024-09-28 15:28:27,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-28 15:54:40,"""CAT2423U0U0""",Cluster : C; District : Kondagaon;  Block : Keskal; GP : JAMGAON,,GP_ROUTER,1,0
1436,10.131.53.14,,UNREACHABLE,DISABLED,GP_UPS,677,2024-09-28 15:29:24,,,,UNILINE,UPSProfile,,,,,DOWN,2024-10-07 16:56:10,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : JAMGAON,,GP_UPS,1,0
1437,10.128.54.44,,UNREACHABLE,DISABLED,GP_ROUTER,678,2024-09-28 15:30:14,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:30:14,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : SONABEDA,,GP_ROUTER,1,0
1438,10.128.54.25,,UNREACHABLE,DISABLED,GP_ROUTER,679,2024-09-28 15:30:57,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:30:57,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : KATAGAON,,GP_ROUTER,1,0
1439,10.131.54.50,,UNREACHABLE,DISABLED,GP_UPS,678,2024-09-28 15:31:03,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:31:03,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : SONABEDA,,GP_UPS,1,0
1440,10.131.53.230,,UNREACHABLE,DISABLED,GP_UPS,679,2024-09-28 15:31:34,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:31:34,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : KATAGAON,,GP_UPS,1,0
1441,10.128.54.45,,UNREACHABLE,DISABLED,GP_ROUTER,680,2024-09-28 15:34:49,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-07 16:56:10,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : TEMGAON,,GP_ROUTER,1,0
1442,10.131.54.54,,UNREACHABLE,DISABLED,GP_UPS,680,2024-09-28 15:35:17,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:35:17,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : TEMGAON,,GP_UPS,1,0
1443,10.128.53.24,"""BNC-KAN-KEKL-GKHALE1.cgbharatnet.gov.in""",UNREACHABLE,DISABLED,GP_ROUTER,681,2024-09-28 15:35:44,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-28 15:54:40,"""CAT2237U2KD""",Cluster : C; District : Kondagaon;  Block : Keskal; GP : KHALEMURWEND,,GP_ROUTER,1,0
1444,10.128.54.26,,UNREACHABLE,DISABLED,GP_ROUTER,682,2024-09-28 15:36:05,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-07 16:56:10,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : KAWRA,,GP_ROUTER,1,0
